Surname  	Approx Number  	% Frequency  	Rank
MICHEL	19,896 	0.008	1601
MCMULLEN	19,896 	0.008	1602
MCKENNA	19,896 	0.008	1603
MCDONOUGH	19,896 	0.008	1604
LINK	19,896 	0.008	1605
ENGEL	19,896 	0.008	1606
BROWNE	19,896 	0.008	1607
ROPER	19,896 	0.008	1608
PEACOCK	19,896 	0.008	1609
EUBANKS	19,896 	0.008	1610
DRUMMOND	19,896 	0.008	1611
STRINGER	19,896 	0.008	1612
PRITCHETT	19,896 	0.008	1613
PARHAM	19,896 	0.008	1614
MIMS	19,896 	0.008	1615
LANDERS	19,896 	0.008	1616
HAM	19,896 	0.008	1617
GRAYSON	19,896 	0.008	1618
STACY	19,896 	0.008	1619
SCHAFER	19,896 	0.008	1620
EGAN	19,896 	0.008	1621
TIMMONS	19,896 	0.008	1622
OHARA	19,896 	0.008	1623
KEEN	19,896 	0.008	1624
HAMLIN	19,896 	0.008	1625
FINN	19,896 	0.008	1626
CORTES	19,896 	0.008	1627
MCNAIR	19,896 	0.008	1628
LOUIS	19,896 	0.008	1629
CLIFFORD	19,896 	0.008	1630
NADEAU	19,896 	0.008	1631
MOSELEY	19,896 	0.008	1632
MICHAUD	19,896 	0.008	1633
ROSEN	19,896 	0.008	1634
OAKES	19,896 	0.008	1635
KURTZ	19,896 	0.008	1636
JEFFERS	19,896 	0.008	1637
CALLOWAY	19,896 	0.008	1638
BEAL	19,896 	0.008	1639
BAUTISTA	19,896 	0.008	1640
WINN	19,896 	0.008	1641
SUGGS	19,896 	0.008	1642
STERN	19,896 	0.008	1643
STAPLETON	19,896 	0.008	1644
LYLES	19,896 	0.008	1645
LAIRD	19,896 	0.008	1646
MONTANO	19,896 	0.008	1647
DIAMOND	19,896 	0.008	1648
DAWKINS	19,896 	0.008	1649
ROLAND	19,896 	0.008	1650
HAGAN	19,896 	0.008	1651
GOLDMAN	19,896 	0.008	1652
BRYSON	19,896 	0.008	1653
BARAJAS	19,896 	0.008	1654
LOVETT	19,896 	0.008	1655
SEGURA	19,896 	0.008	1656
METZ	19,896 	0.008	1657
LOCKETT	19,896 	0.008	1658
LANGFORD	19,896 	0.008	1659
HINSON	19,896 	0.008	1660
EASTMAN	19,896 	0.008	1661
ROCK	19,896 	0.008	1662
HOOKS	19,896 	0.008	1663
WOODY	17,409 	0.007	1664
SMALLWOOD	17,409 	0.007	1665
SHAPIRO	17,409 	0.007	1666
CROWELL	17,409 	0.007	1667
WHALEN	17,409 	0.007	1668
TRIPLETT	17,409 	0.007	1669
HOOKER	17,409 	0.007	1670
CHATMAN	17,409 	0.007	1671
ALDRICH	17,409 	0.007	1672
CAHILL	17,409 	0.007	1673
YOUNGBLOOD	17,409 	0.007	1674
YBARRA	17,409 	0.007	1675
STALLINGS	17,409 	0.007	1676
SHEETS	17,409 	0.007	1677
SAMUEL	17,409 	0.007	1678
REEDER	17,409 	0.007	1679
PERSON	17,409 	0.007	1680
PACK	17,409 	0.007	1681
LACEY	17,409 	0.007	1682
CONNELLY	17,409 	0.007	1683
BATEMAN	17,409 	0.007	1684
ABERNATHY	17,409 	0.007	1685
WINKLER	17,409 	0.007	1686
WILKES	17,409 	0.007	1687
MASTERS	17,409 	0.007	1688
HACKETT	17,409 	0.007	1689
GRANGER	17,409 	0.007	1690
GILLIS	17,409 	0.007	1691
SCHMITZ	17,409 	0.007	1692
SAPP	17,409 	0.007	1693
NAPIER	17,409 	0.007	1694
SOUZA	17,409 	0.007	1695
LANIER	17,409 	0.007	1696
GOMES	17,409 	0.007	1697
WEIR	17,409 	0.007	1698
OTERO	17,409 	0.007	1699
LEDFORD	17,409 	0.007	1700
BURROUGHS	17,409 	0.007	1701
BABCOCK	17,409 	0.007	1702
VENTURA	17,409 	0.007	1703
SIEGEL	17,409 	0.007	1704
DUGAN	17,409 	0.007	1705
CLINTON	17,409 	0.007	1706
CHRISTIE	17,409 	0.007	1707
BLEDSOE	17,409 	0.007	1708
ATWOOD	17,409 	0.007	1709
WRAY	17,409 	0.007	1710
VARNER	17,409 	0.007	1711
SPANGLER	17,409 	0.007	1712
OTTO	17,409 	0.007	1713
ANAYA	17,409 	0.007	1714
STALEY	17,409 	0.007	1715
KRAFT	17,409 	0.007	1716
FOURNIER	17,409 	0.007	1717
EDDY	17,409 	0.007	1718
BELANGER	17,409 	0.007	1719
WOLFF	17,409 	0.007	1720
THORNE	17,409 	0.007	1721
BYNUM	17,409 	0.007	1722
BURNETTE	17,409 	0.007	1723
BOYKIN	17,409 	0.007	1724
SWENSON	17,409 	0.007	1725
PURVIS	17,409 	0.007	1726
PINA	17,409 	0.007	1727
KHAN	17,409 	0.007	1728
DUVALL	17,409 	0.007	1729
DARBY	17,409 	0.007	1730
XIONG	17,409 	0.007	1731
KAUFFMAN	17,409 	0.007	1732
ALI	17,409 	0.007	1733
YU	17,409 	0.007	1734
HEALY	17,409 	0.007	1735
ENGLE	17,409 	0.007	1736
CORONA	17,409 	0.007	1737
BENOIT	17,409 	0.007	1738
VALLE	17,409 	0.007	1739
STEINER	17,409 	0.007	1740
SPICER	17,409 	0.007	1741
SHAVER	17,409 	0.007	1742
RANDLE	17,409 	0.007	1743
LUNDY	17,409 	0.007	1744
DOW	17,409 	0.007	1745
CHIN	17,409 	0.007	1746
CALVERT	17,409 	0.007	1747
STATON	17,409 	0.007	1748
NEFF	17,409 	0.007	1749
KEARNEY	17,409 	0.007	1750
DARDEN	17,409 	0.007	1751
OAKLEY	17,409 	0.007	1752
MEDEIROS	17,409 	0.007	1753
MCCRACKEN	17,409 	0.007	1754
CRENSHAW	17,409 	0.007	1755
BLOCK	17,409 	0.007	1756
BEAVER	17,409 	0.007	1757
PERDUE	17,409 	0.007	1758
DILL	17,409 	0.007	1759
WHITTAKER	17,409 	0.007	1760
TOBIN	17,409 	0.007	1761
CORNELIUS	17,409 	0.007	1762
WASHBURN	17,409 	0.007	1763
HOGUE	17,409 	0.007	1764
GOODRICH	17,409 	0.007	1765
EASLEY	17,409 	0.007	1766
BRAVO	17,409 	0.007	1767
DENNISON	17,409 	0.007	1768
VERA	17,409 	0.007	1769
SHIPLEY	17,409 	0.007	1770
KERNS	17,409 	0.007	1771
JORGENSEN	17,409 	0.007	1772
CRAIN	17,409 	0.007	1773
ABEL	17,409 	0.007	1774
VILLALOBOS	17,409 	0.007	1775
MAURER	17,409 	0.007	1776
LONGORIA	17,409 	0.007	1777
KEENE	17,409 	0.007	1778
COON	17,409 	0.007	1779
SIERRA	17,409 	0.007	1780
WITHERSPOON	17,409 	0.007	1781
STAPLES	17,409 	0.007	1782
PETTIT	17,409 	0.007	1783
KINCAID	17,409 	0.007	1784
EASON	17,409 	0.007	1785
MADRID	17,409 	0.007	1786
ECHOLS	17,409 	0.007	1787
LUSK	17,409 	0.007	1788
WU	17,409 	0.007	1789
STAHL	17,409 	0.007	1790
CURRIE	17,409 	0.007	1791
THAYER	17,409 	0.007	1792
SHULTZ	17,409 	0.007	1793
SHERWOOD	17,409 	0.007	1794
MCNALLY	17,409 	0.007	1795
SEAY	17,409 	0.007	1796
NORTH	17,409 	0.007	1797
MAHER	17,409 	0.007	1798
KENNY	17,409 	0.007	1799
HOPE	17,409 	0.007	1800
GAGNE	17,409 	0.007	1801
BARROW	17,409 	0.007	1802
NAVA	17,409 	0.007	1803
MYLES	17,409 	0.007	1804
MORELAND	17,409 	0.007	1805
HONEYCUTT	17,409 	0.007	1806
HEARN	17,409 	0.007	1807
DIGGS	17,409 	0.007	1808
CARON	17,409 	0.007	1809
WHITTEN	17,409 	0.007	1810
WESTBROOK	17,409 	0.007	1811
STOVALL	17,409 	0.007	1812
RAGLAND	17,409 	0.007	1813
QUEEN	17,409 	0.007	1814
MUNSON	17,409 	0.007	1815
MEIER	17,409 	0.007	1816
LOONEY	17,409 	0.007	1817
KIMBLE	17,409 	0.007	1818
JOLLY	17,409 	0.007	1819
HOBSON	17,409 	0.007	1820
LONDON	17,409 	0.007	1821
GODDARD	17,409 	0.007	1822
CULVER	17,409 	0.007	1823
BURR	17,409 	0.007	1824
PRESLEY	17,409 	0.007	1825
NEGRON	17,409 	0.007	1826
CONNELL	17,409 	0.007	1827
TOVAR	17,409 	0.007	1828
MARCUS	17,409 	0.007	1829
HUDDLESTON	17,409 	0.007	1830
HAMMER	17,409 	0.007	1831
ASHBY	17,409 	0.007	1832
SALTER	17,409 	0.007	1833
ROOT	17,409 	0.007	1834
PENDLETON	17,409 	0.007	1835
OLEARY	17,409 	0.007	1836
NICKERSON	17,409 	0.007	1837
MYRICK	17,409 	0.007	1838
JUDD	17,409 	0.007	1839
JACOBSEN	17,409 	0.007	1840
ELLIOT	17,409 	0.007	1841
BAIN	17,409 	0.007	1842
ADAIR	17,409 	0.007	1843
STARNES	17,409 	0.007	1844
SHELDON	17,409 	0.007	1845
MATOS	17,409 	0.007	1846
LIGHT	17,409 	0.007	1847
BUSBY	17,409 	0.007	1848
HERNDON	17,409 	0.007	1849
HANLEY	17,409 	0.007	1850
BELLAMY	17,409 	0.007	1851
JACK	17,409 	0.007	1852
DOTY	17,409 	0.007	1853
BARTLEY	17,409 	0.007	1854
YAZZIE	17,409 	0.007	1855
ROWELL	17,409 	0.007	1856
PARSON	17,409 	0.007	1857
GIFFORD	17,409 	0.007	1858
CULLEN	17,409 	0.007	1859
CHRISTIANSEN	17,409 	0.007	1860
BENAVIDES	17,409 	0.007	1861
BARNHART	17,409 	0.007	1862
TALBOT	17,409 	0.007	1863
MOCK	17,409 	0.007	1864
CRANDALL	17,409 	0.007	1865
CONNORS	17,409 	0.007	1866
BONDS	17,409 	0.007	1867
WHITT	17,409 	0.007	1868
GAGE	17,409 	0.007	1869
BERGMAN	17,409 	0.007	1870
ARREDONDO	17,409 	0.007	1871
ADDISON	17,409 	0.007	1872
MARION	17,409 	0.007	1873
LUJAN	17,409 	0.007	1874
DOWDY	17,409 	0.007	1875
JERNIGAN	17,409 	0.007	1876
HUYNH	17,409 	0.007	1877
BOUCHARD	17,409 	0.007	1878
DUTTON	17,409 	0.007	1879
RHOADES	17,409 	0.007	1880
OUELLETTE	17,409 	0.007	1881
KISER	17,409 	0.007	1882
RUBIN	17,409 	0.007	1883
HERRINGTON	17,409 	0.007	1884
HARE	17,409 	0.007	1885
DENNY	17,409 	0.007	1886
BLACKMAN	17,409 	0.007	1887
BABB	17,409 	0.007	1888
ALLRED	17,409 	0.007	1889
RUDD	17,409 	0.007	1890
PAULSON	17,409 	0.007	1891
OGDEN	17,409 	0.007	1892
KOENIG	17,409 	0.007	1893
JACOB	17,409 	0.007	1894
IRVING	17,409 	0.007	1895
GEIGER	17,409 	0.007	1896
BEGAY	17,409 	0.007	1897
PARRA	17,409 	0.007	1898
CHAMPION	17,409 	0.007	1899
LASSITER	17,409 	0.007	1900
HAWK	17,409 	0.007	1901
ESPOSITO	17,409 	0.007	1902
CHO	17,409 	0.007	1903
WALDRON	17,409 	0.007	1904
VERNON	17,409 	0.007	1905
RANSOM	17,409 	0.007	1906
PRATHER	17,409 	0.007	1907
KEENAN	17,409 	0.007	1908
JEAN	17,409 	0.007	1909
GROVER	17,409 	0.007	1910
CHACON	17,409 	0.007	1911
VICK	17,409 	0.007	1912
SANDS	17,409 	0.007	1913
ROARK	17,409 	0.007	1914
PARR	17,409 	0.007	1915
MAYBERRY	17,409 	0.007	1916
GREENBERG	17,409 	0.007	1917
COLEY	17,409 	0.007	1918
BRUNER	17,409 	0.007	1919
WHITMAN	17,409 	0.007	1920
SKAGGS	17,409 	0.007	1921
SHIPMAN	17,409 	0.007	1922
MEANS	17,409 	0.007	1923
LEARY	17,409 	0.007	1924
HUTTON	17,409 	0.007	1925
ROMO	17,409 	0.007	1926
MEDRANO	17,409 	0.007	1927
LADD	17,409 	0.007	1928
KRUSE	17,409 	0.007	1929
FRIEND	17,409 	0.007	1930
DARLING	17,409 	0.007	1931
ASKEW	17,409 	0.007	1932
VALENTIN	17,409 	0.007	1933
SCHULZ	17,409 	0.007	1934
ALFARO	17,409 	0.007	1935
TABOR	17,409 	0.007	1936
MOHR	17,409 	0.007	1937
GALLO	17,409 	0.007	1938
BERMUDEZ	17,409 	0.007	1939
PEREIRA	17,409 	0.007	1940
ISAAC	17,409 	0.007	1941
BLISS	17,409 	0.007	1942
REAVES	14,922 	0.006	1943
FLINT	14,922 	0.006	1944
COMER	14,922 	0.006	1945
BOSTON	14,922 	0.006	1946
WOODALL	14,922 	0.006	1947
NAQUIN	14,922 	0.006	1948
GUEVARA	14,922 	0.006	1949
EARL	14,922 	0.006	1950
DELONG	14,922 	0.006	1951
CARRIER	14,922 	0.006	1952
PICKENS	14,922 	0.006	1953
BRAND	14,922 	0.006	1954
TILLEY	14,922 	0.006	1955
SCHAFFER	14,922 	0.006	1956
READ	14,922 	0.006	1957
LIM	14,922 	0.006	1958
KNUTSON	14,922 	0.006	1959
FENTON	14,922 	0.006	1960
DORAN	14,922 	0.006	1961
CHU	14,922 	0.006	1962
VOGT	14,922 	0.006	1963
VANN	14,922 	0.006	1964
PRESCOTT	14,922 	0.006	1965
MCLAIN	14,922 	0.006	1966
LANDIS	14,922 	0.006	1967
CORCORAN	14,922 	0.006	1968
AMBROSE	14,922 	0.006	1969
ZAPATA	14,922 	0.006	1970
HYATT	14,922 	0.006	1971
HEMPHILL	14,922 	0.006	1972
FAULK	14,922 	0.006	1973
CALL	14,922 	0.006	1974
DOVE	14,922 	0.006	1975
BOUDREAUX	14,922 	0.006	1976
ARAGON	14,922 	0.006	1977
WHITLOCK	14,922 	0.006	1978
TREJO	14,922 	0.006	1979
TACKETT	14,922 	0.006	1980
SHEARER	14,922 	0.006	1981
SALDANA	14,922 	0.006	1982
HANKS	14,922 	0.006	1983
GOLD	14,922 	0.006	1984
DRIVER	14,922 	0.006	1985
MCKINNON	14,922 	0.006	1986
KOEHLER	14,922 	0.006	1987
CHAMPAGNE	14,922 	0.006	1988
BOURGEOIS	14,922 	0.006	1989
POOL	14,922 	0.006	1990
KEYES	14,922 	0.006	1991
GOODSON	14,922 	0.006	1992
FOOTE	14,922 	0.006	1993
EARLY	14,922 	0.006	1994
LUNSFORD	14,922 	0.006	1995
GOLDSMITH	14,922 	0.006	1996
FLOOD	14,922 	0.006	1997
WINSLOW	14,922 	0.006	1998
SAMS	14,922 	0.006	1999
REAGAN	14,922 	0.006	2000
MCCLOUD	14,922 	0.006	2001
HOUGH	14,922 	0.006	2002
ESQUIVEL	14,922 	0.006	2003
NAYLOR	14,922 	0.006	2004
LOOMIS	14,922 	0.006	2005
CORONADO	14,922 	0.006	2006
LUDWIG	14,922 	0.006	2007
BRASWELL	14,922 	0.006	2008
BEARDEN	14,922 	0.006	2009
SHERRILL	14,922 	0.006	2010
HUANG	14,922 	0.006	2011
FAGAN	14,922 	0.006	2012
EZELL	14,922 	0.006	2013
EDMONDSON	14,922 	0.006	2014
CYR	14,922 	0.006	2015
CRONIN	14,922 	0.006	2016
NUNN	14,922 	0.006	2017
LEMON	14,922 	0.006	2018
GUILLORY	14,922 	0.006	2019
GRIER	14,922 	0.006	2020
DUBOSE	14,922 	0.006	2021
TRAYLOR	14,922 	0.006	2022
RYDER	14,922 	0.006	2023
DOBBINS	14,922 	0.006	2024
COYLE	14,922 	0.006	2025
APONTE	14,922 	0.006	2026
WHITMORE	14,922 	0.006	2027
SMALLS	14,922 	0.006	2028
ROWAN	14,922 	0.006	2029
MALLOY	14,922 	0.006	2030
CARDONA	14,922 	0.006	2031
BRAXTON	14,922 	0.006	2032
BORDEN	14,922 	0.006	2033
HUMPHRIES	14,922 	0.006	2034
CARRASCO	14,922 	0.006	2035
RUFF	14,922 	0.006	2036
METZGER	14,922 	0.006	2037
HUNTLEY	14,922 	0.006	2038
HINOJOSA	14,922 	0.006	2039
FINNEY	14,922 	0.006	2040
MADSEN	14,922 	0.006	2041
HONG	14,922 	0.006	2042
HILLS	14,922 	0.006	2043
ERNST	14,922 	0.006	2044
DOZIER	14,922 	0.006	2045
BURKHART	14,922 	0.006	2046
BOWSER	14,922 	0.006	2047
PERALTA	14,922 	0.006	2048
DAIGLE	14,922 	0.006	2049
WHITTINGTON	14,922 	0.006	2050
SORENSON	14,922 	0.006	2051
SAUCEDO	14,922 	0.006	2052
ROCHE	14,922 	0.006	2053
REDDING	14,922 	0.006	2054
LOYD	14,922 	0.006	2055
FUGATE	14,922 	0.006	2056
AVALOS	14,922 	0.006	2057
WAITE	14,922 	0.006	2058
LIND	14,922 	0.006	2059
HUSTON	14,922 	0.006	2060
HAY	14,922 	0.006	2061
BENEDICT	14,922 	0.006	2062
HAWTHORNE	14,922 	0.006	2063
HAMBY	14,922 	0.006	2064
BOYLES	14,922 	0.006	2065
BOLES	14,922 	0.006	2066
REGAN	14,922 	0.006	2067
FAUST	14,922 	0.006	2068
CROOK	14,922 	0.006	2069
BEAM	14,922 	0.006	2070
BARGER	14,922 	0.006	2071
HINDS	14,922 	0.006	2072
GALLARDO	14,922 	0.006	2073
ELIAS	14,922 	0.006	2074
WILLOUGHBY	14,922 	0.006	2075
WILLINGHAM	14,922 	0.006	2076
WILBURN	14,922 	0.006	2077
ECKERT	14,922 	0.006	2078
BUSCH	14,922 	0.006	2079
ZEPEDA	14,922 	0.006	2080
WORTHINGTON	14,922 	0.006	2081
TINSLEY	14,922 	0.006	2082
RUSS	14,922 	0.006	2083
LI	14,922 	0.006	2084
HOFF	14,922 	0.006	2085
HAWLEY	14,922 	0.006	2086
CARMONA	14,922 	0.006	2087
VARELA	14,922 	0.006	2088
RECTOR	14,922 	0.006	2089
NEWCOMB	14,922 	0.006	2090
MALLORY	14,922 	0.006	2091
KINSEY	14,922 	0.006	2092
DUBE	14,922 	0.006	2093
WHATLEY	14,922 	0.006	2094
STRANGE	14,922 	0.006	2095
RAGSDALE	14,922 	0.006	2096
IVY	14,922 	0.006	2097
BERNSTEIN	14,922 	0.006	2098
BECERRA	14,922 	0.006	2099
YOST	14,922 	0.006	2100
MATTSON	14,922 	0.006	2101
LY	14,922 	0.006	2102
FELDER	14,922 	0.006	2103
CHEEK	14,922 	0.006	2104
LUKE	14,922 	0.006	2105
HANDY	14,922 	0.006	2106
GROSSMAN	14,922 	0.006	2107
GAUTHIER	14,922 	0.006	2108
ESCOBEDO	14,922 	0.006	2109
BRADEN	14,922 	0.006	2110
BECKMAN	14,922 	0.006	2111
MOTT	14,922 	0.006	2112
HILLMAN	14,922 	0.006	2113
GIL	14,922 	0.006	2114
FLAHERTY	14,922 	0.006	2115
DYKES	14,922 	0.006	2116
DOE	14,922 	0.006	2117
STOCKTON	14,922 	0.006	2118
STEARNS	14,922 	0.006	2119
LOFTON	14,922 	0.006	2120
KITCHEN	14,922 	0.006	2121
COATS	14,922 	0.006	2122
CAVAZOS	14,922 	0.006	2123
BEAVERS	14,922 	0.006	2124
BARRIOS	14,922 	0.006	2125
TANG	14,922 	0.006	2126
PARISH	14,922 	0.006	2127
MOSHER	14,922 	0.006	2128
LINCOLN	14,922 	0.006	2129
CARDWELL	14,922 	0.006	2130
COLES	14,922 	0.006	2131
BURNHAM	14,922 	0.006	2132
WELLER	14,922 	0.006	2133
LEMONS	14,922 	0.006	2134
BEEBE	14,922 	0.006	2135
AGUILERA	14,922 	0.006	2136
RING	14,922 	0.006	2137
PARNELL	14,922 	0.006	2138
HARMAN	14,922 	0.006	2139
COUTURE	14,922 	0.006	2140
ALLEY	14,922 	0.006	2141
SCHUMACHER	14,922 	0.006	2142
REDD	14,922 	0.006	2143
DOBBS	14,922 	0.006	2144
BLUM	14,922 	0.006	2145
BLALOCK	14,922 	0.006	2146
MERCHANT	14,922 	0.006	2147
ENNIS	14,922 	0.006	2148
DENSON	14,922 	0.006	2149
COTTRELL	14,922 	0.006	2150
CHESTER	14,922 	0.006	2151
BRANNON	14,922 	0.006	2152
BAGLEY	14,922 	0.006	2153
AVILES	14,922 	0.006	2154
WATT	14,922 	0.006	2155
SOUSA	14,922 	0.006	2156
ROSENTHAL	14,922 	0.006	2157
ROONEY	14,922 	0.006	2158
DIETZ	14,922 	0.006	2159
BLANK	14,922 	0.006	2160
PAQUETTE	14,922 	0.006	2161
MCCLELLAND	14,922 	0.006	2162
DUFF	14,922 	0.006	2163
VELASCO	14,922 	0.006	2164
LENTZ	14,922 	0.006	2165
GRUBB	14,922 	0.006	2166
BURROWS	14,922 	0.006	2167
BARBOUR	14,922 	0.006	2168
ULRICH	14,922 	0.006	2169
SHOCKLEY	14,922 	0.006	2170
RADER	14,922 	0.006	2171
GERMAN	14,922 	0.006	2172
BEYER	14,922 	0.006	2173
MIXON	14,922 	0.006	2174
LAYTON	14,922 	0.006	2175
ALTMAN	14,922 	0.006	2176
ALONZO	14,922 	0.006	2177
WEATHERS	14,922 	0.006	2178
TITUS	14,922 	0.006	2179
STONER	14,922 	0.006	2180
SQUIRES	14,922 	0.006	2181
SHIPP	14,922 	0.006	2182
PRIEST	14,922 	0.006	2183
LIPSCOMB	14,922 	0.006	2184
CUTLER	14,922 	0.006	2185
CABALLERO	14,922 	0.006	2186
ZIMMER	14,922 	0.006	2187
WILLETT	14,922 	0.006	2188
THURSTON	14,922 	0.006	2189
STOREY	14,922 	0.006	2190
MEDLEY	14,922 	0.006	2191
LYLE	14,922 	0.006	2192
EPPERSON	14,922 	0.006	2193
SHAH	14,922 	0.006	2194
MCMILLIAN	14,922 	0.006	2195
BAGGETT	14,922 	0.006	2196
TORREZ	14,922 	0.006	2197
LAWS	14,922 	0.006	2198
HIRSCH	14,922 	0.006	2199
DENT	14,922 	0.006	2200
COREY	14,922 	0.006	2201
POIRIER	14,922 	0.006	2202
PEACHEY	14,922 	0.006	2203
JACQUES	14,922 	0.006	2204
FARRAR	14,922 	0.006	2205
CREECH	14,922 	0.006	2206
BARTH	14,922 	0.006	2207
TRIMBLE	14,922 	0.006	2208
FRANCE	14,922 	0.006	2209
DUPRE	14,922 	0.006	2210
ALBRECHT	14,922 	0.006	2211
SAMPLE	14,922 	0.006	2212
LAWLER	14,922 	0.006	2213
CRISP	14,922 	0.006	2214
CONROY	14,922 	0.006	2215
CHADWICK	14,922 	0.006	2216
WETZEL	14,922 	0.006	2217
NESBITT	14,922 	0.006	2218
MURRY	14,922 	0.006	2219
JAMESON	14,922 	0.006	2220
WILHELM	14,922 	0.006	2221
PATTEN	14,922 	0.006	2222
MINTON	14,922 	0.006	2223
MATSON	14,922 	0.006	2224
KIMBROUGH	14,922 	0.006	2225
IVERSON	14,922 	0.006	2226
GUINN	14,922 	0.006	2227
GALE	14,922 	0.006	2228
FORTUNE	14,922 	0.006	2229
CROFT	14,922 	0.006	2230
TOTH	14,922 	0.006	2231
PULLIAM	14,922 	0.006	2232
NUGENT	14,922 	0.006	2233
NEWBY	14,922 	0.006	2234
LITTLEJOHN	14,922 	0.006	2235
DIAS	14,922 	0.006	2236
CANALES	14,922 	0.006	2237
BERNIER	14,922 	0.006	2238
BARON	14,922 	0.006	2239
BARNEY	14,922 	0.006	2240
SINGLETARY	14,922 	0.006	2241
RENTERIA	14,922 	0.006	2242
PRUETT	14,922 	0.006	2243
MCHUGH	14,922 	0.006	2244
MABRY	14,922 	0.006	2245
LANDRUM	14,922 	0.006	2246
BROWER	14,922 	0.006	2247
WELDON	14,922 	0.006	2248
STODDARD	14,922 	0.006	2249
RUTH	14,922 	0.006	2250
CAGLE	14,922 	0.006	2251
STJOHN	14,922 	0.006	2252
SCALES	14,922 	0.006	2253
KOHLER	14,922 	0.006	2254
KELLOGG	14,922 	0.006	2255
HOPSON	14,922 	0.006	2256
GANT	14,922 	0.006	2257
THARP	14,922 	0.006	2258
GANN	14,922 	0.006	2259
ZEIGLER	14,922 	0.006	2260
PRINGLE	14,922 	0.006	2261
HAMMONS	14,922 	0.006	2262
FAIRCHILD	14,922 	0.006	2263
DEATON	14,922 	0.006	2264
CHAVIS	14,922 	0.006	2265
CARNES	14,922 	0.006	2266
ROWLEY	14,922 	0.006	2267
MATLOCK	14,922 	0.006	2268
LIBBY	14,922 	0.006	2269
KEARNS	14,922 	0.006	2270
IRIZARRY	14,922 	0.006	2271
CARRINGTON	14,922 	0.006	2272
STARKEY	14,922 	0.006	2273
PEPPER	14,922 	0.006	2274
LOPES	14,922 	0.006	2275
JARRELL	14,922 	0.006	2276
FAY	14,922 	0.006	2277
CRAVEN	14,922 	0.006	2278
BEVERLY	14,922 	0.006	2279
BAUM	14,922 	0.006	2280
SPAIN	12,435 	0.005	2281
LITTLEFIELD	12,435 	0.005	2282
LINN	12,435 	0.005	2283
HUMPHREYS	12,435 	0.005	2284
HOOK	12,435 	0.005	2285
HIGH	12,435 	0.005	2286
ETHERIDGE	12,435 	0.005	2287
CUELLAR	12,435 	0.005	2288
CHASTAIN	12,435 	0.005	2289
CHANCE	12,435 	0.005	2290
BUNDY	12,435 	0.005	2291
SPEER	12,435 	0.005	2292
SKELTON	12,435 	0.005	2293
QUIROZ	12,435 	0.005	2294
PYLE	12,435 	0.005	2295
PORTILLO	12,435 	0.005	2296
PONDER	12,435 	0.005	2297
MOULTON	12,435 	0.005	2298
MACHADO	12,435 	0.005	2299
LIU	12,435 	0.005	2300
KILLIAN	12,435 	0.005	2301
HUTSON	12,435 	0.005	2302
HITCHCOCK	12,435 	0.005	2303
ELLSWORTH	12,435 	0.005	2304
DOWLING	12,435 	0.005	2305
CLOUD	12,435 	0.005	2306
BURDICK	12,435 	0.005	2307
SPANN	12,435 	0.005	2308
PEDERSEN	12,435 	0.005	2309
LEVIN	12,435 	0.005	2310
LEGGETT	12,435 	0.005	2311
HAYWARD	12,435 	0.005	2312
HACKER	12,435 	0.005	2313
DIETRICH	12,435 	0.005	2314
BEAULIEU	12,435 	0.005	2315
BARKSDALE	12,435 	0.005	2316
WAKEFIELD	12,435 	0.005	2317
SNOWDEN	12,435 	0.005	2318
PARIS	12,435 	0.005	2319
BRISCOE	12,435 	0.005	2320
BOWIE	12,435 	0.005	2321
BERMAN	12,435 	0.005	2322
OGLE	12,435 	0.005	2323
MCGREGOR	12,435 	0.005	2324
LAUGHLIN	12,435 	0.005	2325
HELM	12,435 	0.005	2326
BURDEN	12,435 	0.005	2327
WHEATLEY	12,435 	0.005	2328
SCHREIBER	12,435 	0.005	2329
PRESSLEY	12,435 	0.005	2330
PARRIS	12,435 	0.005	2331
NG	12,435 	0.005	2332
ALANIZ	12,435 	0.005	2333
AGEE	12,435 	0.005	2334
URBAN	12,435 	0.005	2335
SWANN	12,435 	0.005	2336
SNODGRASS	12,435 	0.005	2337
SCHUSTER	12,435 	0.005	2338
RADFORD	12,435 	0.005	2339
MONK	12,435 	0.005	2340
MATTINGLY	12,435 	0.005	2341
MAIN	12,435 	0.005	2342
LAMAR	12,435 	0.005	2343
HARP	12,435 	0.005	2344
GIRARD	12,435 	0.005	2345
CHENEY	12,435 	0.005	2346
YANCEY	12,435 	0.005	2347
WAGONER	12,435 	0.005	2348
RIDLEY	12,435 	0.005	2349
LOMBARDO	12,435 	0.005	2350
LAU	12,435 	0.005	2351
HUDGINS	12,435 	0.005	2352
GASKINS	12,435 	0.005	2353
DUCKWORTH	12,435 	0.005	2354
COE	12,435 	0.005	2355
COBURN	12,435 	0.005	2356
WILLEY	12,435 	0.005	2357
PRADO	12,435 	0.005	2358
NEWBERRY	12,435 	0.005	2359
MAGANA	12,435 	0.005	2360
HAMMONDS	12,435 	0.005	2361
ELAM	12,435 	0.005	2362
WHIPPLE	12,435 	0.005	2363
SLADE	12,435 	0.005	2364
SERNA	12,435 	0.005	2365
OJEDA	12,435 	0.005	2366
LILES	12,435 	0.005	2367
DORMAN	12,435 	0.005	2368
DIEHL	12,435 	0.005	2369
ANGEL	12,435 	0.005	2370
UPTON	12,435 	0.005	2371
REARDON	12,435 	0.005	2372
